,popularity,vote_average,vote_count,production_budget,worldwide_gross,profit,genre,genre_1,genre_2
674,8.459,7.6,1814,1000000,852399,-147601,drama,romance,sci-fi
677,12.7,5.2,1090,65000000,74575290,9575290,action,fantasy,horror
678,15.407,7.5,2904,11000000,53797409,42797409,biography,comedy,drama
679,5.002,5.2,42,6000000,0,-6000000,documentary,sport,thriller
680,18.233,5.9,2430,105000000,402156682,297156682,adventure,animation,comedy
681,17.537,6.3,4598,95000000,879765137,784765137,adventure,animation,comedy
684,13.552999999999999,5.8,2230,35000000,175361578,140361578,adventure,comedy,crime
686,12.047,7.4,2703,11000000,78356170,67356170,drama,fantasy,music
687,14.774000000000001,5.8,1431,75000000,211562435,136562435,action,drama,fantasy
689,14.33,6.6,2137,100000000,89693309,-10306691,action,adventure,biography
690,5.099,6.1,83,13000000,509193,-12490807,drama,romance,war
691,18.912,6.8,6245,35000000,165103952,130103952,action,crime,drama
693,8.972999999999999,8.1,1034,6800000,16038343,9238343,drama,mystery,war
694,27.92,8.3,22186,160000000,835524642,675524642,action,adventure,sci-fi
695,36.286,7.6,6354,200000000,1242520711,1042520711,action,adventure,animation
696,15.732000000000001,5.1,3911,165000000,384169424,219169424,action,adventure,sci-fi
697,3.562,4.2,35,1800000,0,-1800000,action,adventure,sci-fi
700,6.122000000000001,5.2,27,4000000,4327,-3995673,action,drama,mystery
701,2.168,2.4,8,2100000,0,-2100000,action,horror,sci-fi
703,14.244000000000002,6.6,1359,20000000,14772346,-5227654,comedy,crime,drama
707,16.197,6.9,3582,1500000,99870886,98370886,horror,mystery,thriller
708,16.017,6.1,1306,10000000,167885588,157885588,horror,mystery,thriller
711,28.44,8.2,18597,165000000,666379375,501379375,adventure,drama,sci-fi
712,7.132999999999999,5.3,121,10000000,0,-10000000,action,adventure,drama
715,5.445,7.6,71,5500000,5580479,80479,biography,documentary,history
716,28.515,6.8,12368,170000000,621156389,451156389,action,adventure,sci-fi
717,32.093,6.9,14155,200000000,1215392272,1015392272,action,adventure,sci-fi
718,10.202,6.1,373,25000000,5297411,-19702589,action,adventure,drama
722,1.3319999999999999,4.6,12,10000000,1642939,-8357061,comedy,drama,fantasy
723,10.01,7.0,1324,8000000,6632950,-1367050,comedy,drama,romance
724,8.628,6.2,1303,35000000,84606030,49606030,biography,crime,drama
727,18.312,6.4,4155,60000000,217370736,157370736,action,crime,thriller
729,11.061,6.1,1687,60000000,131377412,71377412,action,drama,thriller
731,10.715,6.3,655,20000000,171685793,151685793,action,comedy,documentary
732,8.818999999999999,6.4,1420,9000000,36588512,27588512,biography,drama,history
734,8.825,5.5,439,25000000,3771345,-21228655,action,drama,western
737,7.942,5.4,241,5000000,2368937,-2631063,adventure,drama,family
738,6.933,6.9,380,40000000,65282732,25282732,biography,drama,music
739,17.398,6.1,1887,10000000,102445196,92445196,crime,horror,mystery
740,6.461,5.5,96,5000000,927074,-4072926,biography,drama,music
743,18.549,6.1,3338,275000000,282778100,7778100,action,adventure,sci-fi
744,78.123,7.2,10081,30000000,76235001,46235001,action,crime,thriller
745,15.542,6.1,1810,45000000,164640401,119640401,action,adventure,comedy
746,13.467,4.6,708,47000000,11022696,-35977304,action,drama,fantasy
747,14.454,5.9,2152,79000000,318146162,239146162,action,adventure,comedy
749,6.787000000000001,6.4,70,27500000,31157914,3657914,comedy,drama,music
751,20.395,6.7,7213,90000000,964496193,874496193,action,adventure,comedy
753,24.058000000000003,5.3,4401,179000000,181982519,2982519,action,adventure,sci-fi
754,20.709,6.6,14056,215000000,1648854864,1433854864,action,adventure,sci-fi
755,34.958,6.5,5995,170000000,1305772799,1135772799,action,adventure,sci-fi
758,7.047000000000001,6.2,211,12000000,21867665,9867665,comedy,romance,sport
759,34.953,6.2,7510,300000000,655945209,355945209,action,adventure,fantasy
762,8.952,6.0,644,15000000,20688141,5688141,action,comedy,crime
767,9.597000000000001,5.6,129,15000000,20898221,5898221,adventure,animation,family
769,14.793,6.4,3785,28000000,63129909,35129909,action,comedy,crime
772,7.0360000000000005,6.1,332,800000,462206,-337794,crime,drama,horror
774,10.062000000000001,6.6,507,5000000,6656705,1656705,biography,crime,drama
775,15.135,6.2,1093,70000000,65409046,-4590954,action,crime,thriller
776,13.742,6.5,703,10000000,4659110,-5340890,crime,drama,thriller
777,10.221,5.8,1314,75000000,95572749,20572749,action,comedy,romance
779,23.805,6.2,289,30000000,10096821,-19903179,action,drama,sci-fi
780,21.793000000000003,6.5,3305,175000000,139630336,-35369664,action,adventure,drama
782,24.337,7.0,5531,104000000,408803696,304803696,action,adventure,comedy
783,26.103,7.6,10287,94000000,404561724,310561724,action,adventure,comedy
784,6.058,5.8,67,9200000,17155193,7955193,action,drama,romance
785,17.713,6.0,2494,117000000,258751370,141751370,action,adventure,comedy
787,29.388,6.3,6054,185000000,561072059,376072059,action,adventure,fantasy
788,9.417,6.0,1046,15000000,61788393,46788393,comedy,fantasy,horror
790,13.847000000000001,7.7,2029,55000000,77548122,22548122,action,adventure,animation
791,17.363,6.7,3628,150000000,664837547,514837547,action,adventure,animation
792,16.248,6.7,2944,140000000,517599142,377599142,action,adventure,animation
794,16.275,7.9,10028,20000000,426351163,406351163,comedy,drama,music
797,7.261,5.8,676,30000000,61449135,31449135,comedy,drama,romance
800,12.147,7.0,1660,26000000,54393687,28393687,action,adventure,documentary
801,6.303999999999999,6.6,65,20000000,2507181,-17492819,biography,drama,history
805,13.897,4.0,713,18500000,4221341,-14278659,horror,mystery,thriller
806,10.195,6.8,1692,25000000,42425450,17425450,biography,crime,drama
807,10.754000000000001,6.6,1223,100000000,139716717,39716717,action,adventure,animation
808,1.6269999999999998,7.5,4,26000000,67647574,41647574,action,fantasy,horror
809,0.675,7.0,2,20000000,28270399,8270399,drama,fantasy,horror
813,9.394,6.9,1706,30000000,82148538,52148538,adventure,comedy,drama
816,15.0,7.3,8723,120000000,620912003,500912003,adventure,drama,fantasy
822,12.693,6.8,2261,65000000,273346281,208346281,biography,drama,history
823,17.215999999999998,8.1,3833,12000000,149570720,137570720,comedy,drama,romance
824,5.805,7.0,292,20000000,17769299,-2230701,drama,history,war
827,11.322000000000001,6.2,759,65000000,21774432,-43225568,action,crime,drama
830,11.273,5.9,1004,20000000,33943049,13943049,action,sci-fi,thriller
831,45.0,7.8,12330,127000000,615461394,488461394,action,drama,sci-fi
832,15.743,6.7,1627,29000000,44264271,15264271,comedy,crime,drama
833,12.43,6.1,1810,11000000,10431506,-568494,comedy,drama,romance
834,8.557,5.3,59,8000000,433732,-7566268,crime,mystery,thriller
836,15.404000000000002,7.4,2289,40000000,149804632,109804632,action,biography,drama
838,16.779,6.8,6723,30000000,170466405,140466405,action,crime,drama
839,7.029,5.8,352,2000000,2009644,9644,drama,fantasy,mystery
842,6.185,6.1,28,25000000,146149,-24853851,biography,comedy,drama
843,8.261000000000001,5.8,384,18000000,42227490,24227490,comedy,fantasy,romance
844,15.607999999999999,8.2,3165,10000000,65520633,55520633,comedy,drama,romance
846,8.506,6.7,529,9000000,12898064,3898064,biography,drama,romance
847,1.4,6.0,4,916000,6188421,5272421,adventure,crime,drama
849,16.73,6.3,10019,40000000,457507776,417507776,action,sci-fi,thriller
850,7.666,5.3,270,10000000,8629895,-1370105,action,comedy,romance
851,12.557,6.3,1862,12500000,46370970,33870970,action,crime,thriller
852,10.36,5.5,1079,20000000,18273009,-1726991,action,crime,sci-fi
853,9.12,6.5,477,30000000,3721988,-26278012,action,biography,crime
854,28.099,7.4,14454,150000000,370098020,220098020,action,adventure,sci-fi
855,18.705,6.5,3380,145000000,746921271,601921271,adventure,animation,comedy
856,7.275,6.6,150,8000000,15644196,7644196,biography,comedy,drama
860,8.681000000000001,6.2,1110,14500000,123660597,109160597,comedy,drama,music
861,19.274,7.0,8143,180000000,758536735,578536735,action,adventure,family
863,27.666999999999998,6.5,9758,225000000,667999518,442999518,action,adventure,sci-fi
864,11.263,6.3,1460,42000000,49621440,7621440,action,adventure,crime
866,8.262,6.9,319,35000000,29890402,-5109598,biography,drama,history
867,16.24,6.2,618,6000000,1427656,-4572344,action,fantasy,horror
869,6.666,6.0,471,350000,10000000,9650000,action,horror,thriller
873,8.852,5.7,299,150000000,39549758,-110450242,adventure,animation,family
874,7.879,7.3,257,12000000,10116816,-1883184,biography,crime,drama
875,9.477,6.7,413,1000000,5438911,4438911,drama,mystery,thriller
876,30.419,6.6,1457,130000000,341528518,211528518,comedy,family,fantasy
877,16.115,6.6,592,25000000,46734733,21734733,biography,drama,history
878,7.766,6.8,407,20000000,43658157,23658157,biography,comedy,documentary
879,8.88,5.2,383,10000000,4563080,-5436920,action,adventure,family
880,17.31,6.6,6365,61000000,310566162,249566162,action,sci-fi,thriller
881,8.197000000000001,7.3,358,17000000,45707924,28707924,biography,drama,sport
882,8.677,7.6,1570,8000000,9266180,1266180,comedy,drama,romance
884,16.302,5.6,1929,40000000,109738840,69738840,action,adventure,thriller
888,22.855,6.8,3635,130000000,321887208,191887208,action,animation,comedy
890,26.176,6.4,6398,215000000,654213485,439213485,action,adventure,comedy
893,13.171,7.5,3965,30000000,162502774,132502774,comedy,documentary,drama
894,8.652999999999999,6.3,1105,18000000,7680250,-10319750,action,drama,mystery
895,11.675999999999998,6.0,1552,33000000,75898100,42898100,adventure,comedy,romance
896,21.246,6.0,920,35000000,66295121,31295121,action,adventure,thriller
898,7.771,6.8,353,25000000,39217912,14217912,biography,drama,sport
899,9.338,6.4,7343,74000000,1160336173,1086336173,adventure,animation,comedy
900,10.078,7.1,478,13000000,73798736,60798736,biography,drama,family
901,13.220999999999998,5.8,2099,85000000,173613482,88613482,adventure,comedy,drama
902,7.2989999999999995,5.5,301,11000000,2352511,-8647489,crime,drama,mystery
903,10.128,6.3,50,15000000,15362298,362298,action,crime,drama
906,1.96,6.5,16,150000000,637517365,487517365,adventure,animation,comedy
909,11.134,6.4,1859,27000000,93466095,66466095,crime,drama,thriller
910,15.392999999999999,7.1,2255,50000000,111300835,61300835,biography,drama,sport
911,0.6,5.0,1,5000000,64240813,59240813,action,drama,thriller
912,8.827,5.9,414,125000000,61642798,-63357202,action,adventure,comedy
914,20.33,7.0,6362,200000000,743588329,543588329,adventure,animation,comedy
915,11.017000000000001,6.2,1193,20000000,39686769,19686769,adventure,comedy,family
917,14.085999999999999,7.7,3023,16000000,68848446,52848446,adventure,comedy,drama
919,9.912,5.7,843,8000000,7298786,-701214,action,horror,sci-fi
920,10.595,6.3,717,40000000,59795070,19795070,comedy,drama,romance
921,40.095,6.0,1751,100000000,85287417,-14712583,action,adventure,fantasy
922,13.263,5.4,1666,60000000,30396134,-29603866,action,comedy,crime
923,15.227,7.0,3458,30000000,42531076,12531076,drama,horror,mystery
925,12.812999999999999,6.6,1357,145000000,269806430,124806430,adventure,animation,comedy
926,7.8839999999999995,6.5,301,14000000,25187026,11187026,biography,drama,history
929,9.118,6.2,473,55000000,79312301,24312301,adventure,comedy,crime
930,15.937000000000001,6.7,5406,55000000,345922730,290922730,crime,drama,mystery
935,2.0069999999999997,5.8,5,1000000,0,-1000000,comedy,drama,romance
937,9.808,5.4,247,25000000,16727470,-8272530,horror,mystery,thriller
939,1.1320000000000001,4.8,6,1600000,2595644,995644,crime,drama,thriller
940,9.521,7.4,967,12000000,24761360,12761360,adventure,comedy,drama
941,13.722999999999999,6.1,2389,66000000,194169619,128169619,action,crime,thriller
944,14.508,7.1,4590,20000000,70652284,50652284,drama,mystery,thriller
947,20.064,6.1,3536,127000000,353756621,226756621,adventure,comedy,family
950,25.596999999999998,7.7,5860,8500000,50334418,41834418,crime,drama,thriller
952,8.882,5.1,125,2000000,0,-2000000,crime,drama,horror
954,14.519,5.8,286,13200000,54323210,41123210,action,crime,drama
959,2.2640000000000002,5.6,23,50000000,222383055,172383055,action,mystery,thriller
960,9.325,4.2,192,18000000,30535660,12535660,adventure,animation,comedy
961,2.246,4.2,50,800000,35688,-764312,comedy,drama,romance
965,16.646,7.4,9871,75000000,342769200,267769200,crime,mystery,thriller
966,25.805,6.8,6744,90000000,328325007,238325007,action,adventure,comedy
967,18.534000000000002,6.5,6850,120000000,287916633,167916633,action,adventure,sci-fi
968,8.232000000000001,6.7,256,1000000,3324070,2324070,comedy,drama,romance
972,11.378,5.9,1032,3000000,6239723,3239723,action,drama,mystery
978,8.62,5.5,615,42000000,36197221,-5802779,action,comedy,crime
980,14.163,7.0,603,38000000,24555177,-13444823,action,biography,drama
981,3.2710000000000004,5.1,20,3000000,47469,-2952531,action,drama,thriller
983,15.389000000000001,5.1,1670,5000000,103300632,98300632,horror,mystery,thriller
984,11.823,6.0,1416,9000000,81831866,72831866,drama,horror,mystery
990,9.139,6.6,1077,22000000,15434375,-6565625,crime,drama,thriller
992,13.377,5.8,4829,200000000,490359051,290359051,adventure,family,fantasy
993,16.759,6.8,7632,190000000,411002906,221002906,action,adventure,sci-fi
994,30.019000000000002,5.9,2213,155000000,290930148,135930148,action,adventure,sci-fi
995,13.565,7.0,1904,55000000,258789097,203789097,adventure,comedy,family
996,16.509,6.1,2500,26000000,81275291,55275291,action,comedy,crime
998,13.054,5.9,1701,150000000,151525973,1525973,adventure,comedy,family
999,11.564,6.0,3587,12000000,85450484,73450484,comedy,drama,mystery
1002,9.669,5.9,1197,5000000,207039844,202039844,horror,mystery,thriller
1003,8.965,5.4,1026,5000000,142817992,137817992,horror,mystery,thriller
1004,8.157,5.2,774,10000000,77959374,67959374,horror,mystery,thriller
1005,9.446,5.3,752,5000000,90904854,85904854,horror,mystery,thriller
1006,13.32,6.8,1358,60000000,108119662,48119662,adventure,animation,comedy
1008,14.95,5.8,1868,35000000,48543388,13543388,action,crime,thriller
1009,6.056,6.1,206,10000000,1616353,-8383647,drama,history,mystery
1010,14.074000000000002,6.8,7869,110000000,302239672,192239672,drama,romance,sci-fi
1011,9.486,7.1,736,5000000,10727536,5727536,comedy,drama,romance
1012,15.435,6.9,1337,40000000,52837989,12837989,action,crime,drama
1014,15.234000000000002,6.5,3017,40000000,101162106,61162106,adventure,comedy,sci-fi
1015,15.940999999999999,5.0,900,38000000,107650646,69650646,action,comedy,crime
1016,12.005,7.1,98,5000000,25529498,20529498,adventure,biography,drama
1017,0.84,5.0,1,50000000,161626121,111626121,action,comedy,crime
1019,20.899,6.4,2273,132000000,366942531,234942531,adventure,animation,comedy
1021,32.476,6.5,716,25000000,51800758,26800758,action,crime,drama
1022,26.691,6.1,4229,95000000,223050874,128050874,adventure,family,fantasy
1023,15.762,5.9,3109,90000000,200859554,110859554,adventure,family,fantasy
1025,15.974,6.5,650,50000000,347136477,297136477,adventure,animation,comedy
1027,8.978,7.4,945,12000000,98963392,86963392,biography,comedy,drama
1030,28.101,6.6,6931,230000000,788241137,558241137,action,adventure,fantasy
1031,30.579,6.4,8571,410600000,1045663875,635063875,action,adventure,fantasy
1032,13.886,7.3,4233,17000000,116044347,99044347,comedy,music,romance
1035,23.029,5.6,4423,90000000,244041804,154041804,action,comedy,sci-fi
1036,7.815,6.1,116,10000000,575371,-9424629,action,comedy,crime
1037,7.778,5.6,420,35000000,2000000,-33000000,comedy,romance,sport
1039,0.6,7.5,1,2000000,28864,-1971136,drama,music,thriller
1040,6.021,6.6,230,3000000,0,-3000000,action,crime,drama
1041,9.435,5.6,1260,24000000,83531958,59531958,action,crime,sport
1044,25.215,5.4,2078,80000000,108469033,28469033,action,adventure,drama
1046,6.921,5.4,95,7500000,0,-7500000,crime,drama,thriller
1047,15.865,6.2,2667,120000000,142531552,22531552,action,adventure,sci-fi
1048,16.215999999999998,6.1,1979,40000000,127234389,87234389,action,adventure,sci-fi
1049,12.484000000000002,6.2,1244,35000000,31393201,-3606799,action,crime,thriller
1050,9.086,5.7,1195,28000000,16638300,-11361700,action,comedy,horror
1051,15.318,5.5,1157,60000000,84154026,24154026,action,adventure,fantasy
1052,14.357999999999999,8.0,5785,46000000,113402302,67402302,crime,drama,mystery
1053,9.55,6.5,1449,12000000,32909437,20909437,drama,mystery,sci-fi
1055,6.9110000000000005,6.0,276,8000000,10763183,2763183,comedy,drama,family
1056,24.98,6.4,7384,125000000,402448265,277448265,adventure,mystery,sci-fi
1058,9.371,5.5,259,30000000,21709539,-8290461,action,crime,drama
1060,9.078,6.3,1422,130000000,554987477,424987477,action,adventure,animation
1062,1.252,3.2,5,75000,0,-75000,action,sci-fi,thriller
1063,7.564,7.1,225,15000000,10055481,-4944519,biography,drama,sport
1064,7.109,6.0,136,36000000,1578543,-34421457,adventure,biography,drama
1065,21.377,5.6,2047,130000000,79076678,-50923322,action,adventure,comedy
1068,48.056999999999995,7.2,2626,175000000,524283695,349283695,adventure,animation,comedy
1069,7.442,6.3,460,15000000,27469621,12469621,adventure,comedy,family
1070,24.238000000000003,6.2,3176,120000000,428056280,308056280,action,adventure,sci-fi
1071,14.462,6.6,3412,135000000,245724600,110724600,adventure,animation,comedy
1072,8.48,5.4,123,12000000,2062406,-9937594,drama,horror,sci-fi
1075,4.659,5.2,48,5000000,0,-5000000,comedy,crime,drama
1076,30.029,7.6,7021,150000000,579290136,429290136,action,adventure,sci-fi
1078,14.811,6.8,4566,110000000,263880341,153880341,action,drama,family
1079,0.914,3.4,7,45000000,17492014,-27507986,horror,mystery,thriller
1081,14.994000000000002,6.5,2368,84000000,141507355,57507355,action,comedy,crime
1082,13.904000000000002,5.4,849,65000000,48164150,-16835850,action,sci-fi,thriller
1084,8.25,6.1,615,17700000,14518884,-3181116,drama,fantasy,horror
1085,11.856,5.9,1884,42000000,91678442,49678442,fantasy,horror,mystery
1088,18.117,6.5,3406,69000000,145951861,76951861,action,drama,thriller
1089,7.816,6.1,472,4000000,1983596,-2016404,action,crime,horror
1090,10.247,6.0,256,58000000,50365498,-7634502,action,adventure,drama
1091,0.6659999999999999,3.8,2,23000000,13593473,-9406527,adventure,drama,romance
1093,10.713,5.5,1065,20000000,15824374,-4175626,crime,horror,mystery
1096,12.437000000000001,6.2,976,32000000,18195238,-13804762,action,crime,sci-fi
1097,0.667,5.9,2119,57500000,295874190,238374190,action,adventure,horror
1098,1.325,5.7,2321,65000000,240647629,175647629,action,horror,sci-fi
1099,0.8440000000000001,5.9,1859,40000000,314101190,274101190,action,horror,sci-fi
1102,8.247,5.8,473,18000000,41166033,23166033,comedy,drama,music
1103,17.434,6.2,2852,38000000,94763758,56763758,action,adventure,sci-fi
1105,12.977,6.2,939,40000000,124827316,84827316,action,comedy,crime
1106,13.53,4.9,1785,25000000,82917283,57917283,drama,horror,mystery
1107,14.695,6.6,3730,90000000,487519809,397519809,adventure,animation,comedy
1108,18.11,6.3,1803,130000000,492846291,362846291,adventure,animation,comedy
1109,14.934000000000001,7.3,3697,145000000,306900902,161900902,action,adventure,animation
1110,22.995,7.2,7259,93000000,470986200,377986200,action,drama,sci-fi
1111,10.089,5.8,433,20000000,46255763,26255763,action,adventure,drama
1113,0.746,4.2,5,500000,0,-500000,drama,horror,mystery
1114,0.68,5.7,3,99000000,84747441,-14252559,action,adventure,drama
1115,17.851,5.8,3390,120000000,242981799,122981799,action,crime,sci-fi
1116,7.485,6.9,620,2500000,4934356,2434356,comedy,crime,drama
1117,10.362,5.7,123,60000000,24148488,-35851512,adventure,animation,comedy
1118,11.369000000000002,6.1,686,70000000,61031932,-8968068,comedy,drama,musical
1119,5.202999999999999,5.5,154,15000000,3386153,-11613847,comedy,music,war
1122,21.401,7.5,9296,200000000,1049102856,849102856,action,adventure,sci-fi
1123,12.687999999999999,6.2,499,22000000,12967012,-9032988,crime,drama,thriller
1124,2.0869999999999997,7.5,4,10000000,3275585,-6724415,biography,documentary,drama
1128,14.338,5.6,1096,20000000,46844357,26844357,comedy,crime,thriller
1129,8.318999999999999,5.9,417,500000,680914,180914,comedy,fantasy,horror
1130,8.03,7.4,149,5000000,567219,-4432781,comedy,drama,music
1131,17.592,6.4,1684,50000000,66961644,16961644,action,drama,thriller
1136,14.055,5.5,779,35000000,18376443,-16623557,action,crime,drama
1137,15.622,6.3,1248,33000000,41495213,8495213,action,crime,thriller
1138,9.095,7.1,1433,28000000,94050951,66050951,drama,romance,thriller
1140,9.214,6.9,792,750000,4422318,3672318,comedy,drama,romance
1141,0.632,1.0,1,130000000,290650494,160650494,action,mystery,thriller
1142,6.507000000000001,5.4,38,5500000,28468,-5471532,action,comedy,drama
1145,27.414,6.1,5125,110000000,456258539,346258539,action,adventure,drama
1146,7.457000000000001,5.9,515,30000000,108957098,78957098,adventure,drama,thriller
1147,15.232000000000001,5.6,4237,19000000,141344255,122344255,adventure,animation,comedy
1148,7.504,6.3,1246,45000000,82513490,37513490,crime,drama,thriller
1149,9.585,7.4,2050,35000000,114962525,79962525,biography,comedy,drama
1150,14.383,7.3,3882,85000000,48056764,-36943236,action,comedy,fantasy
1151,10.450999999999999,6.2,915,15000000,15554855,554855,action,comedy,horror
1155,12.535,5.3,1352,40000000,91126600,51126600,action,adventure,fantasy
1156,16.322,6.2,361,15700000,63288854,47588854,comedy,drama,romance
1157,6.892,6.3,696,20000000,32608019,12608019,crime,drama,mystery
1158,9.059,7.0,200,35000000,60376247,25376247,biography,drama,family
1159,8.092,6.4,1108,10000000,11766959,1766959,adventure,comedy,drama
1160,19.131,6.3,1815,26000000,33667319,7667319,action,mystery,sci-fi
1161,9.541,7.5,1354,20000000,66776576,46776576,biography,drama,history
1163,22.855999999999998,5.3,1549,95000000,108874967,13874967,action,adventure,fantasy
1164,9.986,5.9,809,95000000,294680778,199680778,comedy,drama,romance
1166,6.107,6.4,9,25000000,3645957,-21354043,adventure,animation,family
1168,6.824,6.1,80,50000000,15505922,-34494078,crime,drama,mystery
1169,3.5210000000000004,3.9,31,2000000,0,-2000000,action,adventure,crime
1172,12.987,5.4,343,59000000,87527651,28527651,adventure,animation,comedy
1174,18.301,7.1,6380,125000000,535663443,410663443,action,adventure,crime
1175,15.040999999999999,6.1,3843,165000000,756244673,591244673,adventure,animation,comedy
1176,10.535,5.2,374,10000000,11360665,1360665,drama,mystery,thriller
1179,20.468,7.3,4475,30000000,84393749,54393749,action,crime,drama
1180,29.725,6.7,1317,35000000,75885196,40885196,action,crime,drama
1181,0.657,7.3,2,200000,44701,-155299,crime,drama,mystery
1183,7.079,5.2,184,2000000,16610760,14610760,drama,horror,mystery
1184,15.350999999999999,7.1,7636,21000000,236412453,215412453,comedy,drama,romance
1187,17.572,6.9,4303,75000000,634454789,559454789,animation,comedy,family
1188,13.117,6.8,2935,3000000,87727807,84727807,horror,mystery,thriller
1189,9.916,5.8,1142,10000000,54104225,44104225,horror,mystery,thriller
1190,10.993,5.9,922,30000000,106030660,76030660,biography,comedy,documentary
1192,19.27,7.1,10441,200000000,1110526981,910526981,action,adventure,thriller
1193,8.847000000000001,4.8,833,10000000,68264973,58264973,action,sci-fi,thriller
1194,26.229,6.1,2177,125000000,304115534,179115534,action,adventure,thriller
1195,5.664,5.3,367,250000,3934450,3684450,action,drama,sci-fi
1196,16.999000000000002,4.0,712,10000000,51723644,41723644,adventure,comedy,horror
1197,5.3020000000000005,5.9,75,2000000,0,-2000000,comedy,crime,drama
1198,26.230999999999998,6.6,600,80000000,213691277,133691277,adventure,animation,comedy
1199,15.663,6.2,736,60000000,197578586,137578586,adventure,animation,comedy
1200,0.725,3.5,2,42000000,57852177,15852177,drama,horror,mystery
1201,16.673,5.9,1493,15000000,57907734,42907734,action,drama,thriller
1203,21.233,5.9,5258,170000000,401021746,231021746,action,adventure,drama
1205,13.703,7.1,2427,50000000,35380918,-14619082,biography,drama,thriller
1206,14.735,6.8,4748,40000000,88069880,48069880,action,drama,sci-fi
1207,29.502,6.6,3838,275000000,393151347,118151347,action,adventure,fantasy
1208,5.9079999999999995,6.1,59,300000,0,-300000,comedy,crime,drama
1209,7.567,6.1,591,35000000,65084116,30084116,comedy,drama,romance
1210,2.403,4.5,21,3000000,0,-3000000,drama,horror,mystery
1212,8.289,6.4,123,22000000,70949793,48949793,biography,drama,history
1214,15.887,6.9,481,3200000,18285560,15085560,comedy,fantasy,sci-fi
1215,8.459,7.0,688,18000000,47158652,29158652,biography,drama,family
1216,7.212000000000001,6.4,169,135000,429448,294448,drama,mystery,sci-fi
1217,13.495,7.2,4529,32000000,140428499,108428499,action,drama,sci-fi
1221,0.968,7.4,6,175000,2602,-172398,comedy,drama,romance
1223,30.318,6.4,6719,300000000,879620923,579620923,action,adventure,thriller
1225,46.775,7.4,11585,175000000,880166350,705166350,action,adventure,sci-fi
1226,25.783,7.2,10375,5000000,278964806,273964806,comedy,romance,sport
1228,10.690999999999999,5.0,2495,5000000,31149251,26149251,comedy,crime,drama
1230,8.799,6.2,415,4000000,679482,-3320518,drama,horror,sci-fi
1232,19.142,6.7,4275,185000000,335802233,150802233,action,adventure,sci-fi
1233,20.487,7.4,6182,190000000,467381584,277381584,action,adventure,sci-fi
1234,0.6,6.0,3,60000000,88832210,28832210,documentary,drama,sport
1236,17.174,6.7,1160,30000000,165889117,135889117,drama,music,romance
1237,10.925,6.8,1252,33000000,165552290,132552290,drama,music,romance
1242,9.812999999999999,5.3,559,35000000,17967746,-17032254,action,crime,thriller
1243,2.84,4.9,8,22000000,4065020,-17934980,crime,drama,thriller
1245,12.100999999999999,6.5,1308,70000000,183353431,113353431,adventure,animation,comedy
1247,11.731,7.7,2048,28000000,202182981,174182981,biography,drama,history
1249,5.91,5.2,135,10000000,161097,-9838903,drama,mystery,thriller
1250,8.749,5.7,255,25000000,11253821,-13746179,action,drama,thriller
1253,6.5729999999999995,5.1,91,2500000,0,-2500000,action,adventure,comedy
1255,7.412000000000001,7.4,770,1900000,4581937,2681937,comedy,drama,romance
1256,14.415999999999999,6.0,2716,75000000,89758389,14758389,action,adventure,fantasy
1257,7.763,7.3,982,14000000,34044909,20044909,biography,drama,history
1258,16.53,5.9,13533,175000000,746059887,571059887,action,adventure,fantasy
1260,11.36,6.6,726,2500000,593933,-1906067,action,comedy,drama
1261,14.39,6.7,3934,50000000,257972745,207972745,mystery,sci-fi,thriller
1262,12.046,6.5,130,16000000,20723581,4723581,action,crime,thriller
1265,3.412,4.8,55,20000000,1703281,-18296719,action,adventure,fantasy
1266,16.925,7.0,752,20000000,7034615,-12965385,fantasy,horror,mystery
1267,5.232,5.1,44,8000000,44197,-7955803,action,crime,drama
1268,10.0,6.9,1789,3000000,5837111,2837111,adventure,comedy,drama
1269,7.551,6.0,604,5000000,4620399,-379601,comedy,drama,romance
1271,11.321,6.1,339,19000000,7576604,-11423396,comedy,drama,romance
1272,11.235999999999999,7.2,787,4750000,4972016,222016,drama,horror,thriller
1275,8.969,6.2,605,32000000,70587268,38587268,action,crime,thriller
1277,21.511,7.5,6407,260000000,586477240,326477240,adventure,animation,comedy
1278,7.727,5.5,348,145000000,448191819,303191819,adventure,animation,drama
1281,4.486000000000001,7.6,11,1500000,98806,-1401194,action,comedy,crime
1282,16.523,7.0,304,10000000,51620593,41620593,action,animation,comedy
1283,25.619,5.8,4259,13500000,202000000,188500000,action,adventure,comedy
1284,15.095999999999998,5.9,1860,135000000,245328374,110328374,action,adventure,comedy
1289,9.251,7.4,486,10000000,6646669,-3353331,biography,drama,history
1291,0.6,6.0,1,20000000,9985316,-10014684,biography,drama,war
1294,11.575999999999999,5.3,799,30000000,56096200,26096200,biography,drama,thriller
1295,9.993,6.2,565,25000000,28400715,3400715,biography,drama,history
1296,2.142,4.7,15,6000000,408159,-5591841,biography,drama,sport
1297,12.967,5.8,3657,38000000,111336398,73336398,action,adventure,drama
1298,17.097,6.3,2703,110000000,177241171,67241171,action,adventure,thriller
1299,13.81,6.9,3407,40000000,152962083,112962083,action,crime,drama
1301,13.717,6.6,2615,50200000,126931325,76731325,romance,sci-fi,thriller
1302,8.417,5.1,108,25000000,0,-25000000,adventure,family,fantasy
