,popularity,vote_average,vote_count,production_budget,worldwide_gross,profit,genre,genre_1,genre_2
161,6.872000000000001,5.6,135,950000,78122,-871878,horror,sci-fi,thriller
165,5.141,6.0,37,3000000,0,-3000000,comedy,drama,romance
166,28.088,5.8,11991,250000000,867500281,617500281,action,adventure,fantasy
167,11.988,6.9,1045,25000000,18445379,-6554621,biography,comedy,drama
169,21.741999999999997,5.6,3240,220000000,313477717,93477717,action,adventure,sci-fi
170,14.429,6.1,4748,60000000,175863783,115863783,action,comedy,crime
171,10.136000000000001,6.1,1748,17000000,38028230,21028230,drama,fantasy,romance
172,7.53,6.9,605,1800000,23265132,21465132,adventure,drama,fantasy
173,0.879,8.0,1,9000000,3134509,-5865491,biography,drama,family
175,11.198,5.7,1826,50000000,60282876,10282876,drama,fantasy,romance
176,26.701,7.7,5730,160000000,1259199706,1099199706,family,fantasy,musical
177,14.584000000000001,7.0,2135,5000000,18945682,13945682,drama,fantasy,mystery
178,16.07,6.4,1098,22000000,19563579,-2436421,drama,horror,mystery
180,8.232999999999999,6.5,985,3000000,483938,-2516062,documentary,drama,news
182,10.322000000000001,6.9,532,3200000,14314407,11114407,comedy,drama,romance
187,10.11,5.6,1068,15000000,73259017,58259017,action,adventure,drama
189,6.067,7.0,66,9000000,3440939,-5559061,drama,history,war
191,7.518,6.6,503,6000000,10106975,4106975,biography,comedy,crime
192,7.331,5.9,150,1100000,56491,-1043509,horror,sci-fi,thriller
193,7.7170000000000005,7.0,238,7000000,14618727,7618727,drama,music,romance
196,36.92,7.8,10176,165000000,652127828,487127828,action,adventure,animation
197,6.76,6.6,250,40000000,25268680,-14731320,biography,drama,family
198,16.024,5.5,623,32000000,82332450,50332450,action,comedy,crime
199,2.707,6.8,54,30000000,648599,-29351401,action,adventure,animation
200,26.156,7.0,4777,19800000,0,-19800000,drama,horror,sci-fi
201,8.164,5.7,172,31000000,7220490,-23779510,action,biography,drama
202,5.489,6.2,42,21000000,606162,-20393838,drama,romance,war
204,14.645999999999999,6.4,2020,53000000,98837872,45837872,biography,crime,drama
205,1.7790000000000001,5.7,25,17500000,7285135,-10214865,drama,family,music
206,1.3659999999999999,5.9,5,7500000,32572,-7467428,action,crime,drama
207,8.05,6.8,193,9000000,21971021,12971021,action,drama,thriller
208,2.0580000000000003,5.1,11,200000000,1348258224,1148258224,action,adventure,sci-fi
211,16.824,5.3,1165,70000000,19665004,-50334996,action,crime,thriller
212,25.101,7.6,3138,15000000,93017335,78017335,biography,crime,drama
213,7.547999999999999,6.7,111,4500000,1217307,-3282693,action,adventure,western
214,48.571000000000005,7.4,6679,185000000,259357408,74357408,drama,mystery,sci-fi
215,9.772,5.0,1094,10000000,38985577,28985577,horror,mystery,thriller
216,8.258,6.9,405,16000000,6603926,-9396074,biography,drama,sport
222,12.003,6.1,268,26000000,2923959,-23076041,action,crime,drama
225,7.983,6.9,736,420000,437002,17002,crime,drama,thriller
227,1.881,6.6,10,14000000,20597806,6597806,biography,documentary,sport
228,37.196999999999996,8.1,7629,55000000,894985342,839985342,biography,drama,music
