,popularity,vote_average,vote_count,production_budget,worldwide_gross,profit,genre
97,8.777999999999999,6.7,417,3500000,2611750,-888250,adventure
98,12.481,6.8,4443,40000000,257878294,217878294,crime
99,16.748,6.7,2188,50000000,135569212,85569212,action
100,17.199,6.2,2679,50000000,236799211,186799211,comedy
101,18.473,7.4,7658,58000000,547326372,489326372,action
102,9.97,6.0,1756,28000000,30295028,2295028,action
103,0.84,4.8,4,1500000,184705,-1315295,drama
104,6.144,4.5,95,3000000,0,-3000000,drama
105,10.705,7.7,746,9700000,36787044,27087044,drama
106,12.08,6.1,1408,50000000,172185754,122185754,comedy
107,8.235,5.9,264,18000000,17920013,-79987,comedy
108,0.6,5.0,1,300000,0,-300000,comedy
109,10.187999999999999,6.8,399,4200000,8078683,3878683,crime
110,0.6,6.5,2,5500000,0,-5500000,drama
111,1.463,3.1,8,4357373,1200000,-3157373,biography
112,9.987,6.7,1265,49000000,71004627,22004627,drama
113,13.989,5.6,3357,6500000,256862920,250362920,horror
114,21.245,6.5,3141,15000000,305384865,290384865,horror
115,13.422,6.1,770,65000000,139829625,74829625,drama
116,25.197,6.3,4465,55000000,43070915,-11929085,adventure
117,10.285,7.1,927,8000000,5706168,-2293832,animation
118,8.113999999999999,6.4,434,27500000,15815509,-11684491,action
119,10.03,6.7,853,175000,2102779,1927779,drama
120,5.473,6.1,60,4000000,978527,-3021473,comedy
121,9.394,7.0,150,8000000,20005613,12005613,documentary
122,32.715,7.1,11949,130000000,518858449,388858449,action
123,44.729,7.0,6290,130000000,623144660,493144660,action
124,2.061,7.2,41,1000000,288757,-711243,adventure
125,5.716,4.8,66,2500000,0,-2500000,horror
126,6.33,5.8,152,3100000,123407,-2976593,horror
127,8.384,5.0,486,5000000,26517819,21517819,horror
128,38.102,6.8,6155,160000000,1146894640,986894640,action
129,12.14,6.2,459,12000000,35830713,23830713,drama
130,6.794,4.4,248,5000000,7556,-4992444,horror
131,15.793,7.2,5127,44500000,227140757,182640757,biography
132,2.017,6.6,18,150000,0,-150000,documentary
133,25.441999999999997,7.4,10387,47000000,203127894,156127894,documentary
134,7.886,5.5,399,40000000,47787943,7787943,comedy
135,12.981,6.7,692,85000000,149717124,64717124,adventure
136,10.613,6.2,1321,5000000,41824066,36824066,adventure
137,0.629,8.0,1,450000,13486,-436514,drama
138,9.193,5.6,246,950000,0,-950000,drama
139,10.579,6.2,666,50000000,83306268,33306268,action
140,21.662,6.3,3645,30000000,98345423,68345423,action
141,9.612,6.4,1144,13000000,6459183,-6540817,action
142,1.505,5.7,6,3400000,12636,-3387364,drama
143,9.586,6.9,843,25000000,50738810,25738810,comedy
144,26.526,7.4,18676,425000000,2776345279,2351345279,horror
145,44.383,7.3,13457,330600000,1403013963,1072413963,action
146,80.773,8.3,13948,300000000,2048134200,1748134200,action
147,4.2,3.8,22,3000000,0,-3000000,action
148,10.405999999999999,7.0,252,30000000,263502914,233502914,action
149,22.895,7.4,8034,34000000,228104185,194104185,action
150,7.05,5.4,755,3000000,12577401,9577401,comedy
151,13.292,6.3,78,8000000,343773,-7656227,drama
152,1.8359999999999999,10.0,1,70000000,69157016,-842984,thriller
153,14.332,6.5,2600,20000000,180998716,160998716,comedy
154,13.549000000000001,5.5,2894,19000000,215448997,196448997,comedy
155,31.32,6.8,1365,32000000,29204379,-2795621,crime
156,9.516,6.4,451,10000000,7843145,-2156855,comedy
157,8.666,5.4,127,8500000,22885836,14385836,comedy
158,7.117000000000001,5.5,358,35000000,15471969,-19528031,drama
159,7.122000000000001,7.9,232,13000000,121778347,108778347,action
160,13.21,7.2,1024,30000000,96892829,66892829,biography
161,6.872000000000001,5.6,135,950000,78122,-871878,horror
162,7.874,5.8,383,10000000,247565,-9752435,comedy
163,12.845999999999998,6.0,248,20000000,54404202,34404202,comedy
164,7.357,7.2,210,30000000,8845575,-21154425,comedy
165,5.141,6.0,37,3000000,0,-3000000,comedy
166,28.088,5.8,11991,250000000,867500281,617500281,action
167,11.988,6.9,1045,25000000,18445379,-6554621,biography
168,5.858,6.1,130,20000000,16723377,-3276623,drama
169,21.741999999999997,5.6,3240,220000000,313477717,93477717,action
170,14.429,6.1,4748,60000000,175863783,115863783,action
171,10.136000000000001,6.1,1748,17000000,38028230,21028230,drama
172,7.53,6.9,605,1800000,23265132,21465132,adventure
173,0.879,8.0,1,9000000,3134509,-5865491,biography
174,17.409000000000002,7.6,500,25000000,13031424,-11968576,drama
175,11.198,5.7,1826,50000000,60282876,10282876,drama
176,26.701,7.7,5730,160000000,1259199706,1099199706,family
177,14.584000000000001,7.0,2135,5000000,18945682,13945682,drama
178,16.07,6.4,1098,22000000,19563579,-2436421,drama
179,11.765,7.4,1039,3000000,23251930,20251930,drama
180,8.232999999999999,6.5,985,3000000,483938,-2516062,documentary
181,10.828,7.2,2089,8000000,68838736,60838736,drama
182,10.322000000000001,6.9,532,3200000,14314407,11114407,comedy
183,1.327,5.9,12,3500000,890303,-2609697,documentary
184,5.599,6.7,31,53000000,22852487,-30147513,documentary
185,2.0269999999999997,5.2,17,1200000,0,-1200000,thriller
186,17.273,6.7,254,13000000,9633111,-3366889,drama
187,10.11,5.6,1068,15000000,73259017,58259017,action
188,0.6,5.0,1,50000,0,-50000,documentary
189,6.067,7.0,66,9000000,3440939,-5559061,drama
190,10.503,7.0,138,500000,31559560,31059560,documentary
191,7.518,6.6,503,6000000,10106975,4106975,biography
192,7.331,5.9,150,1100000,56491,-1043509,horror
193,7.7170000000000005,7.0,238,7000000,14618727,7618727,drama
194,15.030999999999999,7.0,1813,18000000,151668774,133668774,documentary
195,12.017000000000001,7.0,2153,10000000,27317872,17317872,documentary
196,36.92,7.8,10176,165000000,652127828,487127828,action
197,6.76,6.6,250,40000000,25268680,-14731320,biography
198,16.024,5.5,623,32000000,82332450,50332450,action
199,2.707,6.8,54,30000000,648599,-29351401,action
200,26.156,7.0,4777,19800000,0,-19800000,drama
201,8.164,5.7,172,31000000,7220490,-23779510,action
202,5.489,6.2,42,21000000,606162,-20393838,drama
203,7.697,7.2,546,35000000,24687524,-10312476,drama
204,14.645999999999999,6.4,2020,53000000,98837872,45837872,biography
205,1.7790000000000001,5.7,25,17500000,7285135,-10214865,drama
206,1.3659999999999999,5.9,5,7500000,32572,-7467428,action
207,8.05,6.8,193,9000000,21971021,12971021,action
208,2.0580000000000003,5.1,11,200000000,1348258224,1148258224,action
209,6.334,4.9,118,1000000,0,-1000000,horror
210,13.745,7.6,8374,13000000,331266710,318266710,drama
211,16.824,5.3,1165,70000000,19665004,-50334996,action
212,25.101,7.6,3138,15000000,93017335,78017335,biography
213,7.547999999999999,6.7,111,4500000,1217307,-3282693,action
214,48.571000000000005,7.4,6679,185000000,259357408,74357408,drama
215,9.772,5.0,1094,10000000,38985577,28985577,horror
216,8.258,6.9,405,16000000,6603926,-9396074,biography
217,0.6,6.0,2,1200000,0,-1200000,horror
218,10.613,6.7,1709,45000000,127990741,82990741,comedy
219,21.840999999999998,6.1,969,21000000,94045328,73045328,comedy
220,1.3459999999999999,6.0,5,10000000,109383,-9890617,drama
221,3.4019999999999997,4.3,6,1200000,8708,-1191292,horror
222,12.003,6.1,268,26000000,2923959,-23076041,action
223,10.443,7.0,1983,18000000,102912961,84912961,drama
224,3.253,5.9,35,1200000,595018,-604982,comedy
225,7.983,6.9,736,420000,437002,17002,crime
226,8.994,6.9,1677,1000000,16566240,15566240,drama
227,1.881,6.6,10,14000000,20597806,6597806,biography
228,37.196999999999996,8.1,7629,55000000,894985342,839985342,biography
229,11.890999999999998,6.8,905,2000000,475846,-1524154,adventure
230,1.4,8.0,4,10000000,8378853,-1621147,documentary
231,0.6,10.0,1,10000000,91113683,81113683,documentary
232,1.375,4.3,9,5000000,0,-5000000,action
233,0.6,5.5,2,500000,1822,-498178,action
234,5.882999999999999,3.5,42,4500000,7011317,2511317,adventure
235,11.140999999999998,7.5,3097,4000000,57273049,53273049,drama
236,5.972,6.4,18,1660000,80745,-1579255,horror
237,18.908,6.9,8116,185000000,554606532,369606532,drama
238,0.6,2.5,2,6000000,51411620,45411620,action
239,4.236000000000001,5.4,18,7000000,19910002,12910002,comedy
240,9.193999999999999,5.9,909,28000000,73421224,45421224,action
241,9.805,6.5,2783,32500000,289632023,257132023,comedy
242,12.835999999999999,7.2,4313,40000000,162498338,122498338,drama
243,15.677,6.2,3181,90000000,0,-90000000,action
244,4.749,6.0,57,11000000,229653,-10770347,crime
245,13.645999999999999,5.9,814,35000000,34480045,-519955,crime
246,5.481,5.4,17,15000000,3471,-14996529,action
247,0.9159999999999999,6.0,1,11000000,62076141,51076141,drama
248,1.636,6.7,15,12000000,450594,-11549406,comedy
249,2.157,6.8,53,1900000,478595,-1421405,horror
250,0.84,2.0,1,13000000,17856688,4856688,action
251,7.109,4.2,79,10000000,2529395,-7470605,comedy
252,17.574,5.4,681,55000000,22597969,-32402031,action
253,5.877000000000001,7.2,93,2100000,1381824,-718176,documentary
254,43.078,6.5,2425,102000000,465195589,363195589,action
255,10.888,6.6,1487,1987650,21270290,19282640,thriller
256,8.676,7.1,1195,55000000,90552675,35552675,drama
257,1.9580000000000002,7.1,14,225000,1109276,884276,thriller
258,12.761,6.4,1841,20000000,36773510,16773510,comedy
259,0.6,5.5,2,250000,0,-250000,documentary
260,0.632,5.0,1,180000,17503,-162497,documentary
261,6.471,5.4,306,20000000,3727746,-16272254,drama
262,8.503,5.8,112,13700000,11738256,-1961744,crime
